No,Customer,Total,Paid,Change,PaymentMethod,Status,CreatedAt
1,Alief,"Rp 22.000","Rp 25.000","Rp 3.000",Cash,Completed,"2024-01-01 22:41:50"
2,Alief,"Rp 84.000","Rp 100.000","Rp 16.000",Cash,Completed,"2024-01-02 22:54:49"
3,Alief,"Rp 138.000","Rp 150.000","Rp 12.000",Cash,Completed,"2024-01-03 23:16:15"
4,Alief,"Rp 78.000","Rp 100.000","Rp 22.000",Cash,Completed,"2024-01-04 23:18:18"
5,Alief,"Rp 25.000","Rp 25.000","Rp 0",Cash,Completed,"2024-01-05 23:18:44"
6,Alief,"Rp 150.000","Rp 150.000","Rp 0",Cash,Completed,"2024-01-06 23:30:56"
7,Alief,"Rp 69.000","Rp 70.000","Rp 1.000",Cash,Completed,"2024-01-07 23:34:29"
8,Alief,"Rp 180.000","Rp 200.000","Rp 20.000",Cash,Completed,"2024-01-08 23:40:55"
9,Alief,"Rp 99.000","Rp 100.000","Rp 1.000",Cash,Completed,"2024-01-09 23:43:02"
10,Alief,"Rp 114.000","Rp 120.000","Rp 6.000",Cash,Completed,"2024-01-10 23:44:02"
11,Alief,"Rp 125.000","Rp 150.000","Rp 25.000",Cash,Completed,"2024-01-11 23:52:26"
12,Raihan,"Rp 210.000","Rp 250.000","Rp 40.000",Cash,Completed,"2024-02-01 00:02:55"
13,Raihan,"Rp 36.000","Rp 50.000","Rp 14.000",Cash,Completed,"2024-02-02 00:26:44"
14,Raihan,"Rp 95.000","Rp 100.000","Rp 5.000",Cash,Completed,"2024-02-03 00:32:46"
15,Raihan,"Rp 99.000","Rp 100.000","Rp 1.000",Cash,Completed,"2024-02-04 00:33:24"
16,Raihan,"Rp 30.000","Rp 50.000","Rp 20.000",Cash,Completed,"2024-02-05 00:33:42"
17,Raffi,"Rp 84.000","Rp 100.000","Rp 16.000",Cash,Completed,"2024-03-01 01:18:37"
18,Raffi,"Rp 190.000","Rp 200.000","Rp 10.000",Cash,Completed,"2024-03-02 01:19:24"
19,Raffi,"Rp 200.000","Rp 200.000","Rp 0",Cash,Completed,"2024-03-03 01:20:01"
20,Raffi,"Rp 70.000","Rp 70.000","Rp 0",Cash,Completed,"2024-03-04 01:20:27"
21,Raffi,"Rp 170.000","Rp 200.000","Rp 30.000",Cash,Completed,"2024-03-05 01:21:11"
22,Raffi,"Rp 210.000","Rp 250.000","Rp 40.000",Cash,Completed,"2024-03-06 01:22:54"
23,Raffi,"Rp 210.000","Rp 210.000","Rp 0",Cash,Completed,"2024-03-07 01:23:25"
24,Raffi,"Rp 315.000","Rp 350.000","Rp 35.000",Cash,Completed,"2024-03-08 01:24:32"
25,Raffi,"Rp 54.000","Rp 60.000","Rp 6.000",Cash,Completed,"2024-03-09 01:24:56"
26,Finno,"Rp 260.000","Rp 300.000","Rp 40.000",Cash,Completed,"2024-04-01 01:32:24"
27,Finno,"Rp 190.000","Rp 200.000","Rp 10.000",Cash,Completed,"2024-04-02 01:32:55"
28,Finno,"Rp 180.000","Rp 200.000","Rp 20.000",Cash,Completed,"2024-04-03 01:33:33"
29,Finno,"Rp 410.000","Rp 450.000","Rp 40.000",Cash,Completed,"2024-04-04 01:34:35"
30,Finno,"Rp 478.000","Rp 500.000","Rp 22.000",Cash,Completed,"2024-04-05 01:36:43"
31,Finno,"Rp 524.000","Rp 600.000","Rp 76.000",Cash,Completed,"2024-04-06 01:37:35"
32,Finno,"Rp 30.000","Rp 30.000","Rp 0",Cash,Completed,"2024-04-07 01:37:55"
33,Alexx,"Rp 150.000","Rp 200.000","Rp 50.000",Cash,Completed,"2024-05-01 02:02:58"
34,Alexx,"Rp 260.000","Rp 260.000","Rp 0",Cash,Completed,"2024-05-02 02:04:25"
35,Alexx,"Rp 174.000","Rp 200.000","Rp 26.000",Cash,Completed,"2024-05-03 02:06:36"
36,Alexx,"Rp 220.000","Rp 250.000","Rp 30.000",Cash,Completed,"2024-05-04 02:07:06"
37,Alexx,"Rp 480.000","Rp 500.000","Rp 20.000",Cash,Completed,"2024-05-05 02:08:19"
38,Alexx,"Rp 55.000","Rp 60.000","Rp 5.000",Cash,Completed,"2024-05-06 02:10:29"
39,Alexx,"Rp 150.000","Rp 200.000","Rp 50.000",Cash,Completed,"2024-05-07 02:11:07"
40,Alexx,"Rp 690.000","Rp 700.000","Rp 10.000",Cash,Completed,"2024-05-08 02:12:33"
41,Alexx,"Rp 100.000","Rp 100.000","Rp 0",Cash,Completed,"2024-05-09 02:13:39"
42,Raihan,"Rp 260.000","Rp 300.000","Rp 40.000",Cash,Completed,"2024-06-01 02:22:46"
43,Raihan,"Rp 266.000","Rp 300.000","Rp 34.000",Cash,Completed,"2024-06-02 02:37:41"
44,Raihan,"Rp 98.000","Rp 100.000","Rp 2.000",Cash,Completed,"2024-06-03 02:38:26"
45,Raihan,"Rp 340.000","Rp 350.000","Rp 10.000",Cash,Completed,"2024-06-04 02:39:14"
46,Raihan,"Rp 260.000","Rp 300.000","Rp 40.000",Cash,Completed,"2024-06-05 02:39:53"
47,Raihan,"Rp 561.000","Rp 600.000","Rp 39.000",Cash,Completed,"2024-06-06 02:40:33"
48,Alief,"Rp 210.000","Rp 250.000","Rp 40.000",Cash,Completed,"2024-07-01 09:25:52"
49,Alief,"Rp 240.000","Rp 250.000","Rp 10.000",E-Wallet,Completed,"2024-07-02 09:26:27"
50,Alief,"Rp 460.000","Rp 500.000","Rp 40.000",E-Wallet,Completed,"2024-07-03 09:28:13"
51,Alief,"Rp 350.000","Rp 400.000","Rp 50.000",E-Wallet,Completed,"2024-07-04 09:29:14"
52,Alief,"Rp 440.000","Rp 500.000","Rp 60.000",Cash,Completed,"2024-07-05 09:30:05"
53,Alief,"Rp 510.000","Rp 600.000","Rp 90.000",E-Wallet,Completed,"2024-07-06 09:30:49"
54,Alief,"Rp 630.000","Rp 700.000","Rp 70.000",E-Wallet,Completed,"2024-07-07 09:31:28"
55,Alief,"Rp 150.000","Rp 200.000","Rp 50.000",Cash,Completed,"2024-07-08 09:31:59"
56,Alief,"Rp 350.000","Rp 350.000","Rp 0",E-Wallet,Completed,"2024-07-09 09:35:37"
57,Raffi,"Rp 420.000","Rp 500.000","Rp 80.000",Cash,Completed,"2024-08-01 09:43:24"
58,Raffi,"Rp 210.000","Rp 250.000","Rp 40.000",Cash,Completed,"2024-08-02 09:43:53"
59,Raffi,"Rp 320.000","Rp 350.000","Rp 30.000",Cash,Completed,"2024-08-03 09:44:42"
60,Raffi,"Rp 210.000","Rp 220.000","Rp 10.000",Cash,Completed,"2024-08-04 09:45:11"
61,Raffi,"Rp 300.000","Rp 300.000","Rp 0",Cash,Completed,"2024-08-05 09:46:00"
62,Raffi,"Rp 600.000","Rp 600.000","Rp 0",Cash,Completed,"2024-08-06 09:46:35"
63,Raffi,"Rp 420.000","Rp 450.000","Rp 30.000",Cash,Completed,"2024-08-07 09:47:23"
64,Finno,"Rp 380.000","Rp 400.000","Rp 20.000",Cash,Completed,"2024-09-01 09:52:01"
65,Finno,"Rp 480.000","Rp 500.000","Rp 20.000",Cash,Completed,"2024-09-02 09:52:45"
